productId,productName,productType,categoryName,baseUnitAbbreviation,variantId,variantName,image,sku,price,costPrice,attributeType,taxCategory,lowStockThreshold
prod-coffee,Brewed Espresso Coffee,PHYSICAL_GOOD,Beverages,ml,var-coffee-reg,Regular Espresso (12oz),https://images.unsplash.com/photo-1509042239860-f550ce710b93?auto=format&fit=crop&q=80&w=600,COF-EXP-REG,120,35,SIZE,STANDARD,50
prod-coffee,Brewed Espresso Coffee,PHYSICAL_GOOD,Beverages,ml,var-coffee-lrg,Large Espresso (16oz),https://images.unsplash.com/photo-1541167760496-1628856ab772?auto=format&fit=crop&q=80&w=600,COF-EXP-LRG,150,45,SIZE,STANDARD,50
prod-milktea,Classic Brown Sugar Milk Tea,PHYSICAL_GOOD,Beverages,ml,var-milktea-std,Standard Milk Tea,https://images.unsplash.com/photo-1541658016709-82535e94bc69?auto=format&fit=crop&q=80&w=600,MT-BRN-STD,130,40,UNSPECIFIED,STANDARD,30
prod-rice-bowl,Crispy Sisig Rice Bowl,PHYSICAL_GOOD,Main Dishes,pcs,var-sisig-bowl,Standard Sisig Bowl,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?auto=format&fit=crop&q=80&w=600,BOWL-SISIG-STD,185,70,UNSPECIFIED,STANDARD,20
prod-chicken-meals,1pc Fried Chicken w/ Rice,PHYSICAL_GOOD,Main Dishes,pcs,var-chicken-rice,Fried Chicken Meal,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?auto=format&fit=crop&q=80&w=600,MEAL-CHCKN-1PC,145,55,UNSPECIFIED,STANDARD,40
prod-halo-halo,Special Halo-Halo Mix,PHYSICAL_GOOD,Desserts,pcs,var-halohalo-reg,Regular Halo-Halo,https://images.unsplash.com/photo-1563805042-7684c019e1cb?auto=format&fit=crop&q=80&w=600,DSCRT-HALO-REG,95,35,PORTION,STANDARD,15
prod-fries,Flavored French Fries,PHYSICAL_GOOD,Snacks,g,var-fries-bbq,BBQ Fries,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?auto=format&fit=crop&q=80&w=600,SNK-FRY-BBQ,75,22,FLAVOR,STANDARD,25
prod-fries,Flavored French Fries,PHYSICAL_GOOD,Snacks,g,var-fries-cheese,Cheese Fries,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?auto=format&fit=crop&q=80&w=600,SNK-FRY-CHZ,75,22,FLAVOR,STANDARD,25
prod-extra-rice,Extra Jasmine Rice Portion,RAW_MATERIAL,Add-ons & Modifiers,g,var-extra-rice,Extra Rice Scoop (200g),https://images.unsplash.com/photo-1516685018646-549198525c1b?auto=format&fit=crop&q=80&w=600,ADDON-RICE,35,8,PORTION,STANDARD,100
prod-tapioca-pearls,Tapioca Pearls Add-on,RAW_MATERIAL,Add-ons & Modifiers,g,var-tapioca-pearls,Tapioca Black Pearls (50g),https://images.unsplash.com/photo-1541658016709-82535e94bc69?auto=format&fit=crop&q=80&w=600,ADDON-PEARLS,25,5,UNSPECIFIED,STANDARD,200
prod-egg-modifier,Fried Egg Extra,PHYSICAL_GOOD,Add-ons & Modifiers,pcs,var-extra-egg,Sunny Side Up Egg,https://images.unsplash.com/photo-1525351484163-7529414344d8?auto=format&fit=crop&q=80&w=600,ADDON-EGG,20,7,UNSPECIFIED,STANDARD,30
prod-raw-chicken,Raw Marinated Chicken Portions,RAW_MATERIAL,Raw Materials & Supplies,kg,var-raw-chicken-pc,Raw Chicken Piece,https://images.unsplash.com/photo-1604503468506-a8da13d82791?auto=format&fit=crop&q=80&w=600,RAW-CHCKN-PC,0,32,UNSPECIFIED,EXEMPT,500
