id,orderId,variantId,quantity,unitPrice,unitCost,unitAbbreviation
kln-oi-001a,kln-ord-001,kln-var-tapsilog-reg,2,13500,4800,pcs
kln-oi-001b,kln-ord-001,kln-var-coke-reg,2,4500,2200,pcs
kln-oi-002a,kln-ord-002,kln-var-longsilog-reg,1,12500,4200,pcs
kln-oi-002b,kln-ord-002,kln-var-buko-juice,1,5500,1800,ml
kln-oi-003a,kln-ord-003,kln-var-sisig-reg,1,18500,6800,pcs
kln-oi-003b,kln-ord-003,kln-var-sinigang-solo,1,19500,7500,pcs
kln-oi-003c,kln-ord-003,kln-var-sprite-reg,2,4500,2200,pcs
kln-oi-004a,kln-ord-004,kln-var-kare-kare-sharing,1,68000,28000,pcs
kln-oi-004b,kln-ord-004,kln-var-coke-reg,3,4500,2200,pcs
kln-oi-005a,kln-ord-005,kln-var-bangsilog,1,14500,5500,pcs
kln-oi-005b,kln-ord-005,kln-var-extra-rice,1,1500,400,g
kln-oi-006a,kln-ord-006,kln-var-bulalo-solo,2,32500,13000,pcs
kln-oi-006b,kln-ord-006,kln-var-coke-reg,2,4500,2200,pcs
kln-oi-007a,kln-ord-007,kln-var-tapsilog-xl,1,16500,6200,pcs
kln-oi-007b,kln-ord-007,kln-var-buko-juice,1,5500,1800,ml
kln-oi-008a,kln-ord-008,kln-var-liempo-3pc,1,24000,9000,pcs
kln-oi-008b,kln-ord-008,kln-var-sinigang-sharing,1,58000,22000,pcs
kln-oi-008c,kln-ord-008,kln-var-sprite-reg,3,4500,2200,pcs
kln-oi-009a,kln-ord-009,kln-var-sisig-spicy,1,18500,6800,pcs
kln-oi-009b,kln-ord-009,kln-var-halohalo-reg,1,9500,3200,pcs
kln-oi-009c,kln-ord-009,kln-var-coke-reg,1,4500,2200,pcs
kln-oi-010a,kln-ord-010,kln-var-longsilog-xl,1,15500,5600,pcs
kln-oi-010b,kln-ord-010,kln-var-leche-flan-slice,1,7500,2500,pcs
kln-oi-011a,kln-ord-011,kln-var-pusit-order,1,22000,9500,pcs
kln-oi-011b,kln-ord-011,kln-var-bangus-whole,1,23500,9800,pcs
kln-oi-011c,kln-ord-011,kln-var-sprite-reg,2,4500,2200,pcs
kln-oi-012a,kln-ord-012,kln-var-pancit-solo,2,9500,3200,pcs
kln-oi-012b,kln-ord-012,kln-var-lumpia-6pc,2,8500,2800,pcs
kln-oi-012c,kln-ord-012,kln-var-coke-reg,2,4500,2200,pcs
kln-oi-013a,kln-ord-013,kln-var-tapsilog-reg,2,13500,4800,pcs
kln-oi-013b,kln-ord-013,kln-var-buko-juice,2,5500,1800,ml
kln-oi-014a,kln-ord-014,kln-var-kare-kare-sharing,1,68000,28000,pcs
kln-oi-014b,kln-ord-014,kln-var-sinigang-sharing,1,58000,22000,pcs
kln-oi-014c,kln-ord-014,kln-var-coke-reg,4,4500,2200,pcs
kln-oi-015a,kln-ord-015,kln-var-bulalo-sharing,1,78000,32000,pcs
kln-oi-015b,kln-ord-015,kln-var-sprite-reg,2,4500,2200,pcs
kln-oi-016a,kln-ord-016,kln-var-sisig-reg,2,18500,6800,pcs
kln-oi-016b,kln-ord-016,kln-var-halohalo-special,2,13500,4800,pcs
kln-oi-016c,kln-ord-016,kln-var-coke-reg,2,4500,2200,pcs
kln-oi-017a,kln-ord-017,kln-var-bangsilog,2,14500,5500,pcs
kln-oi-017b,kln-ord-017,kln-var-leche-flan-slice,2,7500,2500,pcs
kln-oi-018a,kln-ord-018,kln-var-liempo-1pc,3,8500,3200,pcs
kln-oi-018b,kln-ord-018,kln-var-sinigang-solo,2,19500,7500,pcs
kln-oi-018c,kln-ord-018,kln-var-coke-reg,3,4500,2200,pcs
kln-oi-019a,kln-ord-019,kln-var-pancit-bilao,1,85000,32000,pcs
kln-oi-019b,kln-ord-019,kln-var-lumpia-12pc,2,16000,5200,pcs
kln-oi-019c,kln-ord-019,kln-var-leche-flan-bilao,1,55000,18000,pcs
kln-oi-020a,kln-ord-020,kln-var-tocilog,2,12000,3900,pcs
kln-oi-020b,kln-ord-020,kln-var-buko-juice,2,5500,1800,ml
kln-oi-021a,kln-ord-021,kln-var-pusit-order,2,22000,9500,pcs
kln-oi-021b,kln-ord-021,kln-var-sinigang-solo,1,19500,7500,pcs
kln-oi-021c,kln-ord-021,kln-var-sprite-reg,2,4500,2200,pcs
kln-oi-022a,kln-ord-022,kln-var-kare-kare-solo,2,22500,9200,pcs
kln-oi-022b,kln-ord-022,kln-var-coke-reg,2,4500,2200,pcs
kln-oi-023a,kln-ord-023,kln-var-tapsilog-xl,2,16500,6200,pcs
kln-oi-023b,kln-ord-023,kln-var-halohalo-reg,2,9500,3200,pcs
kln-oi-024a,kln-ord-024,kln-var-sisig-reg,1,18500,6800,pcs
kln-oi-024b,kln-ord-024,kln-var-bulalo-solo,1,32500,13000,pcs
kln-oi-024c,kln-ord-024,kln-var-sprite-reg,2,4500,2200,pcs
kln-oi-025a,kln-ord-025,kln-var-bangus-whole,2,23500,9800,pcs
kln-oi-025b,kln-ord-025,kln-var-sinigang-solo,1,19500,7500,pcs
kln-oi-025c,kln-ord-025,kln-var-coke-reg,3,4500,2200,pcs
kln-oi-026a,kln-ord-026,kln-var-longsilog-reg,2,12500,4200,pcs
kln-oi-026b,kln-ord-026,kln-var-leche-flan-slice,2,7500,2500,pcs
kln-oi-027a,kln-ord-027,kln-var-liempo-3pc,2,24000,9000,pcs
kln-oi-027b,kln-ord-027,kln-var-halohalo-special,1,13500,4800,pcs
kln-oi-027c,kln-ord-027,kln-var-coke-reg,2,4500,2200,pcs
kln-oi-028a,kln-ord-028,kln-var-sisig-reg,2,18500,6800,pcs
kln-oi-028b,kln-ord-028,kln-var-kare-kare-solo,1,22500,9200,pcs
kln-oi-028c,kln-ord-028,kln-var-sprite-reg,2,4500,2200,pcs
kln-oi-029a,kln-ord-029,kln-var-tapsilog-reg,3,13500,4800,pcs
kln-oi-029b,kln-ord-029,kln-var-buko-juice,3,5500,1800,ml
kln-oi-030a,kln-ord-030,kln-var-pancit-bilao,1,85000,32000,pcs
kln-oi-030b,kln-ord-030,kln-var-lumpia-12pc,1,16000,5200,pcs
kln-oi-030c,kln-ord-030,kln-var-coke-reg,4,4500,2200,pcs
kln-oi-031a,kln-ord-031,kln-var-bulalo-sharing,1,78000,32000,pcs
kln-oi-031b,kln-ord-031,kln-var-pusit-order,1,22000,9500,pcs
kln-oi-031c,kln-ord-031,kln-var-sprite-reg,3,4500,2200,pcs
kln-oi-032a,kln-ord-032,kln-var-bangsilog,1,14500,5500,pcs
kln-oi-032b,kln-ord-032,kln-var-halohalo-reg,1,9500,3200,pcs
kln-oi-active-1a,kln-ord-active-1,kln-var-sinigang-sharing,1,58000,22000,pcs
kln-oi-active-1b,kln-ord-active-1,kln-var-liempo-3pc,1,24000,9000,pcs
kln-oi-active-1c,kln-ord-active-1,kln-var-coke-reg,3,4500,2200,pcs
