id,orderNumber,status,orderType,customerReference,hoursAgo
kln-ord-001,#KNL-001001,SERVED,DINE_IN,Table 3,168
kln-ord-002,#KNL-001002,SERVED,TAKEOUT,,167
kln-ord-003,#KNL-001003,SERVED,DINE_IN,Table 1,166
kln-ord-004,#KNL-001004,SERVED,DINE_IN,Table 5,165
kln-ord-005,#KNL-001005,SERVED,TAKEOUT,,164
kln-ord-006,#KNL-001006,SERVED,DINE_IN,Table 2,144
kln-ord-007,#KNL-001007,SERVED,TAKEOUT,,143
kln-ord-008,#KNL-001008,SERVED,DINE_IN,Table 4,142
kln-ord-009,#KNL-001009,SERVED,DINE_IN,Table 6,141
kln-ord-010,#KNL-001010,SERVED,TAKEOUT,,140
kln-ord-011,#KNL-001011,SERVED,DINE_IN,Table 1,120
kln-ord-012,#KNL-001012,SERVED,DINE_IN,Table 3,119
kln-ord-013,#KNL-001013,SERVED,TAKEOUT,,118
kln-ord-014,#KNL-001014,SERVED,DINE_IN,Table 2,117
kln-ord-015,#KNL-001015,SERVED,DINE_IN,Table 5,116
kln-ord-016,#KNL-001016,SERVED,DINE_IN,Table 4,96
kln-ord-017,#KNL-001017,SERVED,TAKEOUT,,95
kln-ord-018,#KNL-001018,SERVED,DINE_IN,Table 1,94
kln-ord-019,#KNL-001019,SERVED,DINE_IN,Table 3,93
kln-ord-020,#KNL-001020,SERVED,TAKEOUT,,72
kln-ord-021,#KNL-001021,SERVED,DINE_IN,Table 2,71
kln-ord-022,#KNL-001022,SERVED,DINE_IN,Table 5,70
kln-ord-023,#KNL-001023,SERVED,TAKEOUT,,69
kln-ord-024,#KNL-001024,SERVED,DINE_IN,Table 1,48
kln-ord-025,#KNL-001025,SERVED,DINE_IN,Table 3,47
kln-ord-026,#KNL-001026,SERVED,TAKEOUT,,46
kln-ord-027,#KNL-001027,SERVED,DINE_IN,Table 4,45
kln-ord-028,#KNL-001028,SERVED,DINE_IN,Table 2,24
kln-ord-029,#KNL-001029,SERVED,TAKEOUT,,23
kln-ord-030,#KNL-001030,SERVED,DINE_IN,Table 6,22
kln-ord-031,#KNL-001031,SERVED,DINE_IN,Table 1,21
kln-ord-032,#KNL-001032,SERVED,TAKEOUT,,20
kln-ord-active-1,#KNL-001033,PREPARING,DINE_IN,Table 7,0
kln-ord-active-2,#KNL-001034,PREPARING,DINE_IN,Table 9,0
kln-ord-active-3,#KNL-001035,PENDING,DINE_IN,Table 2,0
