hostVariantId,materialVariantId,unitAbbreviation,quantityUsed,isAddon,priceOverride
kln-var-tapsilog-reg,kln-var-raw-tapa,g,150,false,
kln-var-tapsilog-reg,kln-var-rice,g,200,false,
kln-var-tapsilog-reg,kln-var-raw-eggs,pcs,1,false,
kln-var-tapsilog-xl,kln-var-raw-tapa,g,200,false,
kln-var-tapsilog-xl,kln-var-rice,g,200,false,
kln-var-tapsilog-xl,kln-var-raw-eggs,pcs,2,false,
kln-var-longsilog-reg,kln-var-raw-longganisa,g,100,false,
kln-var-longsilog-reg,kln-var-rice,g,200,false,
kln-var-longsilog-reg,kln-var-raw-eggs,pcs,1,false,
kln-var-longsilog-xl,kln-var-raw-longganisa,g,150,false,
kln-var-longsilog-xl,kln-var-rice,g,200,false,
kln-var-longsilog-xl,kln-var-raw-eggs,pcs,2,false,
kln-var-bangsilog,kln-var-raw-bangus,g,250,false,
kln-var-bangsilog,kln-var-rice,g,200,false,
kln-var-bangsilog,kln-var-raw-eggs,pcs,1,false,
kln-var-tocilog,kln-var-rice,g,200,false,
kln-var-tocilog,kln-var-raw-eggs,pcs,1,false,
kln-var-sisig-reg,kln-var-raw-gnd-pork,g,200,false,
kln-var-sisig-reg,kln-var-raw-eggs,pcs,1,false,
kln-var-sisig-spicy,kln-var-raw-gnd-pork,g,200,false,
kln-var-sisig-spicy,kln-var-raw-eggs,pcs,1,false,
kln-var-liempo-1pc,kln-var-raw-liempo,g,200,false,
kln-var-liempo-3pc,kln-var-raw-liempo,g,600,false,
kln-var-bangus-whole,kln-var-raw-bangus,g,500,false,
kln-var-pusit-order,kln-var-raw-squid,g,300,false,
kln-var-bulalo-solo,kln-var-raw-beef-shank,g,400,false,
kln-var-bulalo-sharing,kln-var-raw-beef-shank,g,1000,false,
kln-var-sinigang-solo,kln-var-raw-gnd-pork,g,300,false,
kln-var-sinigang-sharing,kln-var-raw-gnd-pork,g,800,false,
kln-var-lumpia-6pc,kln-var-raw-gnd-pork,g,120,false,
kln-var-lumpia-12pc,kln-var-raw-gnd-pork,g,240,false,
kln-var-tapsilog-reg,kln-var-extra-rice,g,200,true,15
kln-var-tapsilog-reg,kln-var-extra-egg,pcs,1,true,15
kln-var-longsilog-reg,kln-var-extra-rice,g,200,true,15
kln-var-longsilog-reg,kln-var-extra-egg,pcs,1,true,15
kln-var-sisig-reg,kln-var-extra-rice,g,200,true,15
kln-var-sisig-reg,kln-var-extra-egg,pcs,1,true,15
kln-var-sisig-reg,kln-var-bagoong,pcs,1,true,20
kln-var-kare-kare-solo,kln-var-bagoong,pcs,1,true,20
kln-var-kare-kare-sharing,kln-var-bagoong,pcs,1,true,20
