id,invoiceNo,orderId,cashierId,type,totalAmount,totalCost,taxAmount,bufferRate,priceConfiguration,invoiceType,ptuNumber,ptuIssuedAt
shub-txn-001,SI-SHB-2024-002001,shub-ord-001,shub-cash-1,SALE,328500,129000,35196,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-002,SI-SHB-2024-002002,shub-ord-002,shub-cash-2,SALE,329000,126000,35250,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-003,SI-SHB-2024-002003,shub-ord-003,shub-cash-1,SALE,379000,143000,40607,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-004,SI-SHB-2024-002004,shub-ord-004,shub-cash-2,SALE,439000,169000,47036,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-005,SI-SHB-2024-002005,shub-ord-005,shub-cash-1,SALE,409000,155000,43821,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-006,SI-SHB-2024-002006,shub-ord-006,shub-cash-2,SALE,339000,130000,36321,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-007,SI-SHB-2024-002007,shub-ord-007,shub-cash-1,SALE,408500,155000,43768,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-008,SI-SHB-2024-002008,shub-ord-008,shub-cash-2,SALE,408500,153000,43768,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-009,SI-SHB-2024-002009,shub-ord-009,shub-cash-1,SALE,499000,190000,53464,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-010,SI-SHB-2024-002010,shub-ord-010,shub-cash-2,SALE,378500,144000,40554,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
