id,variantId,quantity,unitAbbreviation,batchNumber,costPrice,locationName
e2e-inv-coffee-sm,e2e-var-coffee-sm,500,ml,E2E-COF-SM,2500,Main Stockroom
e2e-inv-coffee-lg,e2e-var-coffee-lg,500,ml,E2E-COF-LG,3500,Main Stockroom
e2e-inv-milktea,e2e-var-milktea,500,ml,E2E-MT-STD,4000,Main Stockroom
e2e-inv-milktea-lg,e2e-var-milktea-lg,300,ml,E2E-MT-LG,5500,Main Stockroom
e2e-inv-lemonade-reg,e2e-var-lemonade-reg,400,ml,E2E-LEM-REG,1800,Main Stockroom
e2e-inv-lemonade-lg,e2e-var-lemonade-lg,400,ml,E2E-LEM-LG,2500,Main Stockroom
e2e-inv-soda-orig,e2e-var-soda-orig,5000,ml,E2E-SODA-O,1200,Main Stockroom
e2e-inv-soda-citrus,e2e-var-soda-citrus,5000,ml,E2E-SODA-C,1200,Main Stockroom
e2e-inv-sisig,e2e-var-sisig,100,pcs,E2E-SISIG,7000,Counter Freezer
e2e-inv-chicken,e2e-var-chicken,100,pcs,E2E-CHKN,5500,Counter Freezer
e2e-inv-pork-ribs-half,e2e-var-pork-ribs-half,20,pcs,E2E-RIBS-H,14000,Walk-In Chiller
e2e-inv-pork-ribs-full,e2e-var-pork-ribs-full,10,pcs,E2E-RIBS-F,25000,Walk-In Chiller
e2e-inv-pasta-reg,e2e-var-pasta-reg,60,pcs,E2E-PASTA-R,5500,Main Stockroom
e2e-inv-pasta-lg,e2e-var-pasta-lg,60,pcs,E2E-PASTA-L,8500,Main Stockroom
e2e-inv-burger-single,e2e-var-burger-single,80,pcs,E2E-BURG-S,6500,Counter Freezer
e2e-inv-burger-double,e2e-var-burger-double,60,pcs,E2E-BURG-D,10000,Counter Freezer
e2e-inv-halohalo,e2e-var-halohalo,60,pcs,E2E-HALO,3500,Counter Freezer
e2e-inv-flan-single,e2e-var-leche-flan-single,50,pcs,E2E-FLAN-S,3000,Counter Freezer
e2e-inv-flan-bilao,e2e-var-leche-flan-bilao,5,pcs,E2E-FLAN-B,36000,Walk-In Chiller
e2e-inv-ice-cream-sgl,e2e-var-ice-cream-single,100,pcs,E2E-IC-S,1800,Counter Freezer
e2e-inv-ice-cream-dbl,e2e-var-ice-cream-double,100,pcs,E2E-IC-D,3200,Counter Freezer
e2e-inv-fries-bbq,e2e-var-fries-bbq,5000,g,E2E-FRY-B,2200,Main Stockroom
e2e-inv-fries-chz,e2e-var-fries-chz,5000,g,E2E-FRY-C,2200,Main Stockroom
e2e-inv-fries-src,e2e-var-fries-sour,5000,g,E2E-FRY-S,2500,Main Stockroom
e2e-inv-lumpia-6,e2e-var-lumpia-6pcs,80,pcs,E2E-LMP-6,3200,Counter Freezer
e2e-inv-lumpia-12,e2e-var-lumpia-12pcs,60,pcs,E2E-LMP-12,5800,Counter Freezer
e2e-inv-nachos-reg,e2e-var-nachos-reg,50,pcs,E2E-NACH-R,4500,Main Stockroom
e2e-inv-nachos-shr,e2e-var-nachos-sharing,30,pcs,E2E-NACH-S,8000,Main Stockroom
e2e-inv-zero-price,e2e-var-zero-price,50,pcs,E2E-FREE,0,Display Shelf
e2e-inv-unavailable,e2e-var-unavailable,50,pcs,E2E-UNAVAIL,3000,Main Stockroom
