productId,productName,productType,categoryName,baseUnitAbbreviation,variantId,variantName,image,sku,price,costPrice,attributeType,taxCategory,lowStockThreshold
e2e-prod-coffee,E2E Brewed Coffee,PHYSICAL_GOOD,E2E Beverages,ml,e2e-var-coffee-sm,Small (8oz),,E2E-COF-SM,8000,2500,SIZE,STANDARD,10
e2e-prod-coffee,E2E Brewed Coffee,PHYSICAL_GOOD,E2E Beverages,ml,e2e-var-coffee-lg,Large (16oz),,E2E-COF-LG,12000,3500,SIZE,STANDARD,10
e2e-prod-milktea,E2E Milk Tea,PHYSICAL_GOOD,E2E Beverages,ml,e2e-var-milktea,Standard (16oz),,E2E-MT-STD,13000,4000,SIZE,STANDARD,10
e2e-prod-milktea,E2E Milk Tea,PHYSICAL_GOOD,E2E Beverages,ml,e2e-var-milktea-lg,Large (22oz),,E2E-MT-LG,16000,5500,SIZE,STANDARD,10
e2e-prod-lemonade,E2E Fresh Lemonade,PHYSICAL_GOOD,E2E Beverages,ml,e2e-var-lemonade-reg,Regular (12oz),,E2E-LEM-REG,7000,1800,SIZE,STANDARD,10
e2e-prod-lemonade,E2E Fresh Lemonade,PHYSICAL_GOOD,E2E Beverages,ml,e2e-var-lemonade-lg,Large (22oz),,E2E-LEM-LG,10000,2500,SIZE,STANDARD,10
e2e-prod-soda,E2E House Soda,PHYSICAL_GOOD,E2E Beverages,ml,e2e-var-soda-orig,Original Flavor,,E2E-SODA-ORIG,5000,1200,FLAVOR,STANDARD,20
e2e-prod-soda,E2E House Soda,PHYSICAL_GOOD,E2E Beverages,ml,e2e-var-soda-citrus,Citrus Burst,,E2E-SODA-CITS,5000,1200,FLAVOR,STANDARD,20
e2e-prod-sisig,E2E Sisig Bowl,PHYSICAL_GOOD,E2E Main Dishes,pcs,e2e-var-sisig,Standard Sisig Bowl,,E2E-BOWL-SISIG,18500,7000,UNSPECIFIED,STANDARD,5
e2e-prod-chicken,E2E Fried Chicken Meal,PHYSICAL_GOOD,E2E Main Dishes,pcs,e2e-var-chicken,1pc Chicken with Rice,,E2E-MEAL-CHKN,14500,5500,UNSPECIFIED,STANDARD,5
e2e-prod-pork-ribs,E2E Pork Ribs Platter,PHYSICAL_GOOD,E2E Main Dishes,pcs,e2e-var-pork-ribs-half,Half Rack,,E2E-RIBS-HALF,32000,14000,PORTION,STANDARD,3
e2e-prod-pork-ribs,E2E Pork Ribs Platter,PHYSICAL_GOOD,E2E Main Dishes,pcs,e2e-var-pork-ribs-full,Full Rack,,E2E-RIBS-FULL,58000,25000,PORTION,STANDARD,3
e2e-prod-pasta,E2E Aglio Olio Pasta,PHYSICAL_GOOD,E2E Main Dishes,pcs,e2e-var-pasta-reg,Regular (200g),,E2E-PASTA-REG,16000,5500,PORTION,STANDARD,5
e2e-prod-pasta,E2E Aglio Olio Pasta,PHYSICAL_GOOD,E2E Main Dishes,pcs,e2e-var-pasta-lg,Large (350g),,E2E-PASTA-LG,23000,8500,PORTION,STANDARD,5
e2e-prod-burger,E2E Smash Burger,PHYSICAL_GOOD,E2E Main Dishes,pcs,e2e-var-burger-single,Single Patty,,E2E-BURG-SGL,17500,6500,PORTION,STANDARD,5
e2e-prod-burger,E2E Smash Burger,PHYSICAL_GOOD,E2E Main Dishes,pcs,e2e-var-burger-double,Double Patty,,E2E-BURG-DBL,24000,10000,PORTION,STANDARD,5
e2e-prod-halohalo,E2E Halo-Halo,PHYSICAL_GOOD,E2E Desserts,pcs,e2e-var-halohalo,Regular Halo-Halo,,E2E-DSCRT-HALO,9500,3500,UNSPECIFIED,STANDARD,5
