id,orderId,variantId,quantity,unitPrice,unitCost,unitAbbreviation
fmrt-oi-001a,fmrt-ord-001,fmrt-var-rice-5kg,2,27500,22000,pcs
fmrt-oi-001b,fmrt-ord-001,fmrt-var-eggs-12pcs,1,10500,7800,pcs
fmrt-oi-001c,fmrt-ord-001,fmrt-var-sardines-155g,3,2800,1900,pcs
fmrt-oi-002a,fmrt-ord-002,fmrt-var-chicken-whole,1,21500,15500,pcs
fmrt-oi-002b,fmrt-ord-002,fmrt-var-tomato-500g,2,3500,2200,pcs
fmrt-oi-002c,fmrt-ord-002,fmrt-var-onion-1kg,1,9500,6800,pcs
fmrt-oi-002d,fmrt-ord-002,fmrt-var-garlic-250g,1,6500,4500,pcs
fmrt-oi-003a,fmrt-ord-003,fmrt-var-cornbeef-175g,2,5500,3800,pcs
fmrt-oi-003b,fmrt-ord-003,fmrt-var-eggs-6pcs,1,5500,4000,pcs
fmrt-oi-003c,fmrt-ord-003,fmrt-var-coke-330ml,4,3500,2400,pcs
fmrt-oi-003d,fmrt-ord-003,fmrt-var-pancit-canton-orig,3,1500,900,pcs
fmrt-oi-004a,fmrt-ord-004,fmrt-var-rice-25kg,1,135000,108000,pcs
fmrt-oi-004b,fmrt-ord-004,fmrt-var-oil-2L,2,21500,15500,pcs
fmrt-oi-004c,fmrt-ord-004,fmrt-var-soysauce-1L,1,7500,5200,pcs
fmrt-oi-004d,fmrt-ord-004,fmrt-var-vinegar-350ml,2,2800,1800,pcs
fmrt-oi-005a,fmrt-ord-005,fmrt-var-hotdog-500g,2,11500,8200,pcs
fmrt-oi-005b,fmrt-ord-005,fmrt-var-eggs-12pcs,1,10500,7800,pcs
fmrt-oi-005c,fmrt-ord-005,fmrt-var-water-500ml,6,1200,700,pcs
fmrt-oi-006a,fmrt-ord-006,fmrt-var-rice-5kg,3,27500,22000,pcs
fmrt-oi-006b,fmrt-ord-006,fmrt-var-chicken-parts,2,12500,8800,pcs
fmrt-oi-006c,fmrt-ord-006,fmrt-var-coke-1.5L,2,7500,5200,pcs
fmrt-oi-007a,fmrt-ord-007,fmrt-var-sardines-425g,3,6500,4500,pcs
fmrt-oi-007b,fmrt-ord-007,fmrt-var-milk-1L,2,9500,7000,pcs
fmrt-oi-007c,fmrt-ord-007,fmrt-var-cheese-165g,1,7800,5500,pcs
fmrt-oi-008a,fmrt-ord-008,fmrt-var-detergent-1kg,1,18500,13200,pcs
fmrt-oi-008b,fmrt-ord-008,fmrt-var-dishwash-250ml,2,5500,3800,pcs
fmrt-oi-008c,fmrt-ord-008,fmrt-var-soap-90g,4,3800,2600,pcs
fmrt-oi-009a,fmrt-ord-009,fmrt-var-rice-5kg,1,27500,22000,pcs
fmrt-oi-009b,fmrt-ord-009,fmrt-var-cornbeef-380g,2,11000,7800,pcs
fmrt-oi-009c,fmrt-ord-009,fmrt-var-eggs-12pcs,1,10500,7800,pcs
fmrt-oi-009d,fmrt-ord-009,fmrt-var-soysauce-350ml,1,3200,2100,pcs
fmrt-oi-010a,fmrt-ord-010,fmrt-var-piattos-cheese,3,3500,2300,pcs
fmrt-oi-010b,fmrt-ord-010,fmrt-var-skyflakes-800g,1,15500,11000,pcs
fmrt-oi-010c,fmrt-ord-010,fmrt-var-coke-330ml,6,3500,2400,pcs
fmrt-oi-011a,fmrt-ord-011,fmrt-var-rice-dino-5kg,2,32500,26000,pcs
fmrt-oi-011b,fmrt-ord-011,fmrt-var-chicken-whole,2,21500,15500,pcs
fmrt-oi-011c,fmrt-ord-011,fmrt-var-oil-1L,1,11500,8200,pcs
fmrt-oi-012a,fmrt-ord-012,fmrt-var-shampoo-180ml,1,18500,13500,pcs
fmrt-oi-012b,fmrt-ord-012,fmrt-var-soap-90g,3,3800,2600,pcs
fmrt-oi-012c,fmrt-ord-012,fmrt-var-water-1.5L,4,2200,1300,pcs
fmrt-oi-013a,fmrt-ord-013,fmrt-var-hotdog-500g,1,11500,8200,pcs
fmrt-oi-013b,fmrt-ord-013,fmrt-var-milk-1L,2,9500,7000,pcs
fmrt-oi-013c,fmrt-ord-013,fmrt-var-pancit-canton-chili,5,1500,900,pcs
fmrt-oi-013d,fmrt-ord-013,fmrt-var-juice-orange-250ml,3,2200,1400,pcs
fmrt-oi-014a,fmrt-ord-014,fmrt-var-rice-25kg,2,135000,108000,pcs
