id,orderNumber,status,orderType,customerReference,hoursAgo
fmrt-ord-001,#FMT-005001,SERVED,TAKEOUT,,168
fmrt-ord-002,#FMT-005002,SERVED,TAKEOUT,,167
fmrt-ord-003,#FMT-005003,SERVED,TAKEOUT,,166
fmrt-ord-004,#FMT-005004,SERVED,TAKEOUT,,165
fmrt-ord-005,#FMT-005005,SERVED,TAKEOUT,,164
fmrt-ord-006,#FMT-005006,SERVED,TAKEOUT,,144
fmrt-ord-007,#FMT-005007,SERVED,TAKEOUT,,143
fmrt-ord-008,#FMT-005008,SERVED,TAKEOUT,,142
fmrt-ord-009,#FMT-005009,SERVED,TAKEOUT,,141
fmrt-ord-010,#FMT-005010,SERVED,TAKEOUT,,140
fmrt-ord-011,#FMT-005011,SERVED,TAKEOUT,,120
fmrt-ord-012,#FMT-005012,SERVED,TAKEOUT,,119
fmrt-ord-013,#FMT-005013,SERVED,TAKEOUT,,118
fmrt-ord-014,#FMT-005014,SERVED,TAKEOUT,,117
fmrt-ord-015,#FMT-005015,SERVED,TAKEOUT,,116
fmrt-ord-016,#FMT-005016,SERVED,TAKEOUT,,96
fmrt-ord-017,#FMT-005017,SERVED,TAKEOUT,,95
fmrt-ord-018,#FMT-005018,SERVED,TAKEOUT,,94
fmrt-ord-019,#FMT-005019,SERVED,TAKEOUT,,93
fmrt-ord-020,#FMT-005020,SERVED,TAKEOUT,,72
fmrt-ord-021,#FMT-005021,SERVED,TAKEOUT,,71
fmrt-ord-022,#FMT-005022,SERVED,TAKEOUT,,70
fmrt-ord-023,#FMT-005023,SERVED,TAKEOUT,,69
fmrt-ord-024,#FMT-005024,SERVED,TAKEOUT,,48
fmrt-ord-025,#FMT-005025,SERVED,TAKEOUT,,47
fmrt-ord-026,#FMT-005026,SERVED,TAKEOUT,,46
fmrt-ord-027,#FMT-005027,SERVED,TAKEOUT,,45
fmrt-ord-028,#FMT-005028,SERVED,TAKEOUT,,24
fmrt-ord-029,#FMT-005029,SERVED,TAKEOUT,,23
fmrt-ord-030,#FMT-005030,SERVED,TAKEOUT,,22
fmrt-ord-031,#FMT-005031,SERVED,TAKEOUT,,21
fmrt-ord-032,#FMT-005032,SERVED,TAKEOUT,,20
fmrt-ord-active-1,#FMT-005033,SERVED,TAKEOUT,,0
