id,invoiceNo,orderId,cashierId,type,totalAmount,totalCost,taxAmount,bufferRate,priceConfiguration,invoiceType,ptuNumber,ptuIssuedAt
fmrt-txn-001,SI-FMT-2024-005001,fmrt-ord-001,fmrt-cash-1,SALE,74900,63400,8025,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-002,SI-FMT-2024-005002,fmrt-ord-002,fmrt-cash-2,SALE,44000,29000,4714,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-003,SI-FMT-2024-005003,fmrt-ord-003,fmrt-cash-1,SALE,32100,19800,3439,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-004,SI-FMT-2024-005004,fmrt-ord-004,fmrt-cash-2,SALE,69100,49600,7403,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-005,SI-FMT-2024-005005,fmrt-ord-005,fmrt-cash-1,SALE,42200,31200,4521,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-006,SI-FMT-2024-005006,fmrt-ord-006,fmrt-cash-2,SALE,112500,82400,12054,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-007,SI-FMT-2024-005007,fmrt-ord-007,fmrt-cash-1,SALE,46300,31000,4960,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-008,SI-FMT-2024-005008,fmrt-ord-008,fmrt-cash-2,SALE,54700,38000,5861,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-009,SI-FMT-2024-005009,fmrt-ord-009,fmrt-cash-1,SALE,62700,48400,6718,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-010,SI-FMT-2024-005010,fmrt-ord-010,fmrt-cash-2,SALE,57000,34600,6107,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-011,SI-FMT-2024-005011,fmrt-ord-011,fmrt-cash-1,SALE,108000,88200,11571,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-012,SI-FMT-2024-005012,fmrt-ord-012,fmrt-cash-2,SALE,35700,26900,3825,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-013,SI-FMT-2024-005013,fmrt-ord-013,fmrt-cash-1,SALE,49700,32500,5325,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-014,SI-FMT-2024-005014,fmrt-ord-014,fmrt-cash-2,SALE,93600,65400,10029,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-015,SI-FMT-2024-005015,fmrt-ord-015,fmrt-cash-1,SALE,74000,52000,7929,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-016,SI-FMT-2024-005016,fmrt-ord-016,fmrt-cash-2,SALE,150500,116900,16125,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-017,SI-FMT-2024-005017,fmrt-ord-017,fmrt-cash-1,SALE,47000,31600,5036,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-018,SI-FMT-2024-005018,fmrt-ord-018,fmrt-cash-2,SALE,41500,26100,4446,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-019,SI-FMT-2024-005019,fmrt-ord-019,fmrt-cash-1,SALE,83400,50100,8936,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-020,SI-FMT-2024-005020,fmrt-ord-020,fmrt-cash-2,SALE,74500,57600,7982,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-021,SI-FMT-2024-005021,fmrt-ord-021,fmrt-cash-1,SALE,77000,53800,8250,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-022,SI-FMT-2024-005022,fmrt-ord-022,fmrt-cash-2,SALE,53300,32800,5711,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-023,SI-FMT-2024-005023,fmrt-ord-023,fmrt-cash-1,SALE,74700,52800,8004,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-024,SI-FMT-2024-005024,fmrt-ord-024,fmrt-cash-2,SALE,77000,55300,8250,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-025,SI-FMT-2024-005025,fmrt-ord-025,fmrt-cash-1,SALE,89000,63700,9536,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-026,SI-FMT-2024-005026,fmrt-ord-026,fmrt-cash-2,SALE,48800,33400,5229,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-027,SI-FMT-2024-005027,fmrt-ord-027,fmrt-cash-1,SALE,57500,40400,6161,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-028,SI-FMT-2024-005028,fmrt-ord-028,fmrt-cash-2,SALE,47000,33600,5036,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-029,SI-FMT-2024-005029,fmrt-ord-029,fmrt-cash-1,SALE,111000,82400,11893,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-030,SI-FMT-2024-005030,fmrt-ord-030,fmrt-cash-2,SALE,41400,26600,4436,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-031,SI-FMT-2024-005031,fmrt-ord-031,fmrt-cash-1,SALE,128500,103200,13768,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-032,SI-FMT-2024-005032,fmrt-ord-032,fmrt-cash-2,SALE,30000,16800,3214,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
fmrt-txn-active-1,SI-FMT-2024-005033,fmrt-ord-active-1,fmrt-cash-1,SALE,74000,57400,7929,20,INCLUSIVE,SALES_INVOICE,PTU-2024-FMT-001,02/01/2024
