id,transactionId,method,amount,tendered,change
kln-pay-001,kln-txn-001,CASH,36000,40000,4000
kln-pay-002,kln-txn-002,CASH,18000,20000,2000
kln-pay-003,kln-txn-003,CASH,51500,60000,8500
kln-pay-004,kln-txn-004,CASH,81500,100000,18500
kln-pay-005,kln-txn-005,CASH,16000,20000,4000
kln-pay-006a,kln-txn-006,CASH,50000,50000,0
kln-pay-006b,kln-txn-006,E_WALLET,24000,24000,0
kln-pay-007,kln-txn-007,E_WALLET,22000,22000,0
kln-pay-008,kln-txn-008,CASH,95500,100000,4500
kln-pay-009,kln-txn-009,CASH,32500,35000,2500
kln-pay-010,kln-txn-010,E_WALLET,23000,23000,0
kln-pay-011,kln-txn-011,CASH,59000,60000,1000
kln-pay-012,kln-txn-012,CASH,45000,50000,5000
kln-pay-013,kln-txn-013,E_WALLET,38000,38000,0
kln-pay-014a,kln-txn-014,CASH,100000,100000,0
kln-pay-014b,kln-txn-014,E_WALLET,62000,62000,0
kln-pay-015,kln-txn-015,CASH,87000,100000,13000
kln-pay-016,kln-txn-016,CASH,73000,80000,7000
kln-pay-017,kln-txn-017,E_WALLET,44000,44000,0
kln-pay-018,kln-txn-018,CASH,78000,80000,2000
kln-pay-019a,kln-txn-019,CASH,100000,100000,0
kln-pay-019b,kln-txn-019,CARD,88000,88000,0
kln-pay-020,kln-txn-020,CASH,35000,40000,5000
kln-pay-021,kln-txn-021,CASH,72500,80000,7500
kln-pay-022,kln-txn-022,E_WALLET,54000,54000,0
kln-pay-023,kln-txn-023,CASH,52000,60000,8000
kln-pay-024,kln-txn-024,CASH,64500,70000,5500
kln-pay-025a,kln-txn-025,CASH,50000,50000,0
kln-pay-025b,kln-txn-025,E_WALLET,33500,33500,0
kln-pay-026,kln-txn-026,E_WALLET,40000,40000,0
kln-pay-027,kln-txn-027,CASH,61500,70000,8500
kln-pay-028,kln-txn-028,CASH,76500,80000,3500
kln-pay-029,kln-txn-029,E_WALLET,57000,57000,0
kln-pay-030a,kln-txn-030,CASH,100000,100000,0
kln-pay-030b,kln-txn-030,CARD,35000,35000,0
kln-pay-031a,kln-txn-031,CASH,100000,100000,0
kln-pay-031b,kln-txn-031,E_WALLET,13500,13500,0
kln-pay-032,kln-txn-032,CASH,24000,25000,1000
