id,invoiceNo,orderId,cashierId,type,totalAmount,totalCost,taxAmount,bufferRate,priceConfiguration,invoiceType,ptuNumber,ptuIssuedAt
kln-txn-001,SI-KNL-2024-001001,kln-ord-001,kln-cash-1,SALE,36000,14000,3857,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-002,SI-KNL-2024-001002,kln-ord-002,kln-cash-1,SALE,18000,6000,1929,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-003,SI-KNL-2024-001003,kln-ord-003,kln-cash-2,SALE,51500,18700,5518,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-004,SI-KNL-2024-001004,kln-ord-004,kln-cash-1,SALE,81500,34600,8732,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-005,SI-KNL-2024-001005,kln-ord-005,kln-cash-2,SALE,16000,5900,1714,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-006,SI-KNL-2024-001006,kln-ord-006,kln-cash-1,SALE,74000,30400,7929,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-007,SI-KNL-2024-001007,kln-ord-007,kln-cash-2,SALE,22000,8000,2357,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-008,SI-KNL-2024-001008,kln-ord-008,kln-cash-1,SALE,95500,39600,10232,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-009,SI-KNL-2024-001009,kln-ord-009,kln-cash-2,SALE,32500,12200,3482,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-010,SI-KNL-2024-001010,kln-ord-010,kln-cash-1,SALE,23000,8100,2464,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-011,SI-KNL-2024-001011,kln-ord-011,kln-cash-1,SALE,59000,24300,6321,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
