id,orderNumber,status,orderType,customerReference,hoursAgo
shub-ord-001,#SHB-002001,SERVED,TAKEOUT,,168
shub-ord-002,#SHB-002002,SERVED,TAKEOUT,,167
shub-ord-003,#SHB-002003,SERVED,TAKEOUT,,166
shub-ord-004,#SHB-002004,SERVED,TAKEOUT,,165
shub-ord-005,#SHB-002005,SERVED,TAKEOUT,,164
shub-ord-006,#SHB-002006,SERVED,TAKEOUT,,144
shub-ord-007,#SHB-002007,SERVED,TAKEOUT,,143
shub-ord-008,#SHB-002008,SERVED,TAKEOUT,,142
shub-ord-009,#SHB-002009,SERVED,TAKEOUT,,141
shub-ord-010,#SHB-002010,SERVED,TAKEOUT,,140
shub-ord-011,#SHB-002011,SERVED,TAKEOUT,,120
shub-ord-012,#SHB-002012,SERVED,TAKEOUT,,119
shub-ord-013,#SHB-002013,SERVED,TAKEOUT,,118
shub-ord-014,#SHB-002014,SERVED,TAKEOUT,,117
shub-ord-015,#SHB-002015,SERVED,TAKEOUT,,116
shub-ord-016,#SHB-002016,SERVED,TAKEOUT,,96
shub-ord-017,#SHB-002017,SERVED,TAKEOUT,,95
shub-ord-018,#SHB-002018,SERVED,TAKEOUT,,94
shub-ord-019,#SHB-002019,SERVED,TAKEOUT,,93
shub-ord-020,#SHB-002020,SERVED,TAKEOUT,,72
shub-ord-021,#SHB-002021,SERVED,TAKEOUT,,71
shub-ord-022,#SHB-002022,SERVED,TAKEOUT,,70
shub-ord-023,#SHB-002023,SERVED,TAKEOUT,,69
shub-ord-024,#SHB-002024,SERVED,TAKEOUT,,48
shub-ord-025,#SHB-002025,SERVED,TAKEOUT,,47
shub-ord-026,#SHB-002026,SERVED,TAKEOUT,,46
shub-ord-027,#SHB-002027,SERVED,TAKEOUT,,45
shub-ord-028,#SHB-002028,SERVED,TAKEOUT,,24
shub-ord-029,#SHB-002029,SERVED,TAKEOUT,,23
shub-ord-030,#SHB-002030,SERVED,TAKEOUT,,22
shub-ord-031,#SHB-002031,SERVED,TAKEOUT,,21
shub-ord-refund-src,#SHB-002032,SERVED,TAKEOUT,,48
shub-ord-refund,#SHB-002033,SERVED,TAKEOUT,,46
shub-ord-active-1,#SHB-002034,SERVED,TAKEOUT,,0
