id,transactionId,method,amount,tendered,change
shub-pay-001,shub-txn-001,CARD,328500,328500,0
shub-pay-002,shub-txn-002,CARD,329000,329000,0
shub-pay-003a,shub-txn-003,CASH,200000,200000,0
shub-pay-003b,shub-txn-003,CARD,179000,179000,0
shub-pay-004,shub-txn-004,CARD,439000,439000,0
shub-pay-005,shub-txn-005,E_WALLET,409000,409000,0
shub-pay-006,shub-txn-006,CARD,339000,339000,0
shub-pay-007,shub-txn-007,CARD,408500,408500,0
shub-pay-008,shub-txn-008,E_WALLET,408500,408500,0
shub-pay-009,shub-txn-009,CARD,499000,499000,0
shub-pay-010,shub-txn-010,CASH,378500,400000,21500
shub-pay-011,shub-txn-011,CARD,387500,387500,0
shub-pay-012,shub-txn-012,CARD,479000,479000,0
shub-pay-013,shub-txn-013,E_WALLET,438500,438500,0
shub-pay-014,shub-txn-014,CARD,439000,439000,0
shub-pay-015a,shub-txn-015,CASH,200000,200000,0
shub-pay-015b,shub-txn-015,E_WALLET,178500,178500,0
shub-pay-016,shub-txn-016,CARD,599000,599000,0
shub-pay-017,shub-txn-017,CASH,288500,300000,11500
shub-pay-018,shub-txn-018,CARD,458500,458500,0
shub-pay-019,shub-txn-019,CASH,268500,300000,31500
shub-pay-020,shub-txn-020,CARD,319000,319000,0
shub-pay-021,shub-txn-021,E_WALLET,279000,279000,0
shub-pay-022,shub-txn-022,CARD,378500,378500,0
shub-pay-023a,shub-txn-023,CASH,200000,200000,0
shub-pay-023b,shub-txn-023,CARD,199000,199000,0
shub-pay-024,shub-txn-024,CARD,348500,348500,0
shub-pay-025,shub-txn-025,CARD,528500,528500,0
shub-pay-026,shub-txn-026,E_WALLET,409000,409000,0
shub-pay-027,shub-txn-027,CARD,408500,408500,0
shub-pay-028,shub-txn-028,CARD,319000,319000,0
shub-pay-029,shub-txn-029,CASH,368000,400000,32000
shub-pay-030,shub-txn-030,CARD,369000,369000,0
shub-pay-031,shub-txn-031,CARD,478500,478500,0
shub-pay-rfnd-src,shub-txn-refund-src,CARD,479000,479000,0
shub-pay-rfnd,shub-txn-refund,CARD,-349500,-349500,0
shub-pay-active-1,shub-txn-active-1,CARD,528500,528500,0
