productId,productName,productType,categoryName,baseUnitAbbreviation,variantId,variantName,image,sku,price,costPrice,attributeType,taxCategory,lowStockThreshold
shub-prod-crop-tee,Relaxed Crop Tee,PHYSICAL_GOOD,Women's Tops,pcs,shub-var-crop-tee-xs-wht,XS — White,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&q=80&w=600,SHB-CRPTEE-XS-WHT,795,320,SIZE,STANDARD,3
shub-prod-crop-tee,Relaxed Crop Tee,PHYSICAL_GOOD,Women's Tops,pcs,shub-var-crop-tee-s-wht,S — White,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&q=80&w=600,SHB-CRPTEE-S-WHT,795,320,SIZE,STANDARD,3
shub-prod-crop-tee,Relaxed Crop Tee,PHYSICAL_GOOD,Women's Tops,pcs,shub-var-crop-tee-m-wht,M — White,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&q=80&w=600,SHB-CRPTEE-M-WHT,795,320,SIZE,STANDARD,3
shub-prod-crop-tee,Relaxed Crop Tee,PHYSICAL_GOOD,Women's Tops,pcs,shub-var-crop-tee-m-blk,M — Black,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&q=80&w=600,SHB-CRPTEE-M-BLK,795,320,COLOR,STANDARD,3
shub-prod-crop-tee,Relaxed Crop Tee,PHYSICAL_GOOD,Women's Tops,pcs,shub-var-crop-tee-l-blk,L — Black,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&q=80&w=600,SHB-CRPTEE-L-BLK,795,320,COLOR,STANDARD,3
shub-prod-linen-blouse,Linen Button-Down Blouse,PHYSICAL_GOOD,Women's Tops,pcs,shub-var-linen-blouse-s-ecru,S — Ecru,https://images.unsplash.com/photo-1560243563-062bfc001d68?auto=format&fit=crop&q=80&w=600,SHB-LNBLS-S-ECR,1495,580,SIZE,STANDARD,3
shub-prod-linen-blouse,Linen Button-Down Blouse,PHYSICAL_GOOD,Women's Tops,pcs,shub-var-linen-blouse-m-ecru,M — Ecru,https://images.unsplash.com/photo-1560243563-062bfc001d68?auto=format&fit=crop&q=80&w=600,SHB-LNBLS-M-ECR,1495,580,SIZE,STANDARD,3
shub-prod-linen-blouse,Linen Button-Down Blouse,PHYSICAL_GOOD,Women's Tops,pcs,shub-var-linen-blouse-m-sage,M — Sage Green,https://images.unsplash.com/photo-1560243563-062bfc001d68?auto=format&fit=crop&q=80&w=600,SHB-LNBLS-M-SGE,1495,580,COLOR,STANDARD,3
shub-prod-wide-pants,Wide-Leg Trousers,PHYSICAL_GOOD,Women's Bottoms,pcs,shub-var-wide-pants-s-blk,S — Black,https://images.unsplash.com/photo-1594938298603-c8148c4b4357?auto=format&fit=crop&q=80&w=600,SHB-WDPNT-S-BLK,1895,720,SIZE,STANDARD,3
shub-prod-wide-pants,Wide-Leg Trousers,PHYSICAL_GOOD,Women's Bottoms,pcs,shub-var-wide-pants-m-blk,M — Black,https://images.unsplash.com/photo-1594938298603-c8148c4b4357?auto=format&fit=crop&q=80&w=600,SHB-WDPNT-M-BLK,1895,720,SIZE,STANDARD,3
