planName,featureKey,usageLimit
Trial,COMPLETE_CHECKOUT,
Trial,RECORD_PAYMENT,
Trial,PRINT_RECEIPT,
Trial,ISSUE_REFUND,
Trial,CREATE_ORDER,
Trial,EDIT_ACTIVE_ORDER,
Trial,MANAGE_PRODUCTS,
Trial,MANAGE_CUSTOMERS,
Trial,VIEW_TRANSACTION_HISTORY,
Trial,VIEW_ORDER_HISTORY,
Trial,MANAGE_SETTINGS,
Trial,MANAGE_BILLING,
Trial,REACTIVATE_SUBSCRIPTION,
Trial,MANAGE_INVENTORY,
Trial,START_VENDOR_SESSION,
Trial,VIEW_SALES_REPORTS,
Trial,VIEW_INVENTORY_REPORTS,
Trial,EXPORT_DATA,
Trial,MANAGE_SUPPLIERS,
Trial,CREATE_PURCHASE,
Trial,CREATE_TASK,
Trial,MANAGE_EMPLOYEES,1
Trial,MANAGE_BRANCHES,1
Basic,COMPLETE_CHECKOUT,
Basic,RECORD_PAYMENT,
Basic,PRINT_RECEIPT,
Basic,ISSUE_REFUND,
Basic,CREATE_ORDER,
Basic,EDIT_ACTIVE_ORDER,
Basic,MANAGE_PRODUCTS,
Basic,MANAGE_CUSTOMERS,
Basic,VIEW_TRANSACTION_HISTORY,
Basic,VIEW_ORDER_HISTORY,
Basic,MANAGE_SETTINGS,
Basic,MANAGE_BILLING,
Basic,REACTIVATE_SUBSCRIPTION,
Basic,MANAGE_EMPLOYEES,1
Basic,MANAGE_BRANCHES,1
Premium,COMPLETE_CHECKOUT,
Premium,RECORD_PAYMENT,
Premium,PRINT_RECEIPT,
Premium,ISSUE_REFUND,
Premium,CREATE_ORDER,
Premium,EDIT_ACTIVE_ORDER,
Premium,MANAGE_PRODUCTS,
Premium,MANAGE_CUSTOMERS,
Premium,VIEW_TRANSACTION_HISTORY,
Premium,VIEW_ORDER_HISTORY,
Premium,MANAGE_SETTINGS,
Premium,MANAGE_BILLING,
Premium,REACTIVATE_SUBSCRIPTION,
Premium,MANAGE_INVENTORY,
Premium,START_VENDOR_SESSION,
Premium,VIEW_SALES_REPORTS,
Premium,VIEW_INVENTORY_REPORTS,
Premium,EXPORT_DATA,
Premium,MANAGE_EMPLOYEES,
Premium,MANAGE_BRANCHES,3
Enterprise,COMPLETE_CHECKOUT,
Enterprise,RECORD_PAYMENT,
Enterprise,PRINT_RECEIPT,
Enterprise,ISSUE_REFUND,
Enterprise,CREATE_ORDER,
Enterprise,EDIT_ACTIVE_ORDER,
Enterprise,MANAGE_PRODUCTS,
Enterprise,MANAGE_CUSTOMERS,
Enterprise,VIEW_TRANSACTION_HISTORY,
Enterprise,VIEW_ORDER_HISTORY,
Enterprise,MANAGE_SETTINGS,
Enterprise,MANAGE_BILLING,
Enterprise,REACTIVATE_SUBSCRIPTION,
Enterprise,MANAGE_INVENTORY,
Enterprise,START_VENDOR_SESSION,
Enterprise,VIEW_SALES_REPORTS,
Enterprise,VIEW_INVENTORY_REPORTS,
Enterprise,EXPORT_DATA,
Enterprise,MANAGE_EMPLOYEES,
Enterprise,MANAGE_BRANCHES,5
Enterprise,MANAGE_SUPPLIERS,
Enterprise,CREATE_PURCHASE,
Enterprise,CREATE_TASK,
Perpetual License,COMPLETE_CHECKOUT,
Perpetual License,RECORD_PAYMENT,
Perpetual License,PRINT_RECEIPT,
Perpetual License,ISSUE_REFUND,
Perpetual License,CREATE_ORDER,
Perpetual License,EDIT_ACTIVE_ORDER,
Perpetual License,MANAGE_PRODUCTS,
Perpetual License,MANAGE_CUSTOMERS,
Perpetual License,VIEW_TRANSACTION_HISTORY,
Perpetual License,VIEW_ORDER_HISTORY,
Perpetual License,MANAGE_SETTINGS,
Perpetual License,MANAGE_BILLING,
Perpetual License,REACTIVATE_SUBSCRIPTION,
Perpetual License,MANAGE_INVENTORY,
Perpetual License,START_VENDOR_SESSION,
Perpetual License,VIEW_SALES_REPORTS,
Perpetual License,VIEW_INVENTORY_REPORTS,
Perpetual License,EXPORT_DATA,
Perpetual License,MANAGE_EMPLOYEES,
Perpetual License,MANAGE_BRANCHES,
Perpetual License,MANAGE_SUPPLIERS,
Perpetual License,CREATE_PURCHASE,
Perpetual License,CREATE_TASK,
Perpetual License,VIEW_ANALYTICS,
Perpetual License,ACCESS_API,
