hostVariantId,materialVariantId,unitAbbreviation,quantityUsed,isAddon,priceOverride
e2e-var-sisig,e2e-var-rice,g,200,FALSE,
e2e-var-sisig,e2e-var-sauce,ml,30,FALSE,
e2e-var-chicken,e2e-var-rice,g,200,FALSE,
e2e-var-chicken,e2e-var-raw-chicken,kg,0.25,FALSE,
e2e-var-chicken,e2e-var-oil,ml,50,FALSE,
e2e-var-pork-ribs-half,e2e-var-raw-pork,kg,0.5,FALSE,
e2e-var-pork-ribs-half,e2e-var-sauce,ml,80,FALSE,
e2e-var-pork-ribs-full,e2e-var-raw-pork,kg,1,FALSE,
e2e-var-pork-ribs-full,e2e-var-sauce,ml,150,FALSE,
e2e-var-pasta-reg,e2e-var-pasta-dry,g,200,FALSE,
e2e-var-pasta-reg,e2e-var-oil,ml,30,FALSE,
e2e-var-pasta-lg,e2e-var-pasta-dry,g,350,FALSE,
e2e-var-pasta-lg,e2e-var-oil,ml,50,FALSE,
e2e-var-burger-single,e2e-var-ground-beef,kg,0.15,FALSE,
e2e-var-burger-single,e2e-var-flour,kg,0.08,FALSE,
e2e-var-burger-single,e2e-var-oil,ml,30,FALSE,
e2e-var-burger-double,e2e-var-ground-beef,kg,0.3,FALSE,
e2e-var-burger-double,e2e-var-flour,kg,0.08,FALSE,
e2e-var-burger-double,e2e-var-oil,ml,40,FALSE,
e2e-var-milktea,e2e-var-pearls,g,50,FALSE,
e2e-var-milktea-lg,e2e-var-pearls,g,80,FALSE,
e2e-var-lemonade-reg,e2e-var-lemon,pcs,2,FALSE,
e2e-var-lemonade-reg,e2e-var-syrup,ml,30,FALSE,
e2e-var-lemonade-lg,e2e-var-lemon,pcs,3,FALSE,
e2e-var-lemonade-lg,e2e-var-syrup,ml,50,FALSE,
e2e-var-with-recipe,e2e-var-rice,g,200,FALSE,
e2e-var-with-recipe,e2e-var-raw-chicken,kg,0.3,FALSE,
e2e-var-with-recipe,e2e-var-sauce,ml,50,FALSE,
e2e-var-with-addon,e2e-var-rice,g,200,FALSE,
e2e-var-with-addon,e2e-var-sauce,ml,30,FALSE,
e2e-var-sisig,e2e-var-addon-rice,g,200,TRUE,3500
e2e-var-sisig,e2e-var-addon-egg,pcs,1,TRUE,2000
e2e-var-chicken,e2e-var-addon-rice,g,200,TRUE,3500
e2e-var-chicken,e2e-var-addon-egg,pcs,1,TRUE,2000
e2e-var-burger-single,e2e-var-addon-cheese,pcs,1,TRUE,1500
e2e-var-burger-single,e2e-var-addon-bacon,pcs,1,TRUE,3000
e2e-var-burger-double,e2e-var-addon-cheese,pcs,2,TRUE,2500
e2e-var-burger-double,e2e-var-addon-bacon,pcs,2,TRUE,5000
e2e-var-pasta-reg,e2e-var-addon-cheese,pcs,1,TRUE,2000
e2e-var-pasta-lg,e2e-var-addon-cheese,pcs,2,TRUE,3500
e2e-var-with-addon,e2e-var-addon-rice,g,200,TRUE,3500
e2e-var-with-addon,e2e-var-addon-egg,pcs,1,TRUE,2000
e2e-var-milktea,e2e-var-pearls,g,50,TRUE,4000
e2e-var-milktea-lg,e2e-var-pearls,g,80,TRUE,6000
e2e-var-catering-pkg-50,e2e-var-sisig,pcs,20,FALSE,
e2e-var-catering-pkg-50,e2e-var-chicken,pcs,30,FALSE,
e2e-var-catering-pkg-100,e2e-var-sisig,pcs,40,FALSE,
e2e-var-catering-pkg-100,e2e-var-chicken,pcs,60,FALSE,
