id,transactionId,method,amount,tendered,change
fmrt-pay-001,fmrt-txn-001,CASH,74900,80000,5100
fmrt-pay-002,fmrt-txn-002,CASH,44000,50000,6000
fmrt-pay-003,fmrt-txn-003,CASH,32100,40000,7900
fmrt-pay-004,fmrt-txn-004,E_WALLET,69100,69100,0
fmrt-pay-005,fmrt-txn-005,CASH,42200,50000,7800
fmrt-pay-006,fmrt-txn-006,CASH,112500,120000,7500
fmrt-pay-007,fmrt-txn-007,E_WALLET,46300,46300,0
fmrt-pay-008,fmrt-txn-008,CASH,54700,60000,5300
fmrt-pay-009a,fmrt-txn-009,CASH,50000,50000,0
fmrt-pay-009b,fmrt-txn-009,E_WALLET,12700,12700,0
fmrt-pay-010,fmrt-txn-010,CASH,57000,60000,3000
fmrt-pay-011a,fmrt-txn-011,CASH,100000,100000,0
fmrt-pay-011b,fmrt-txn-011,E_WALLET,8000,8000,0
fmrt-pay-012,fmrt-txn-012,CASH,35700,40000,4300
fmrt-pay-013,fmrt-txn-013,E_WALLET,49700,49700,0
fmrt-pay-014a,fmrt-txn-014,CASH,50000,50000,0
fmrt-pay-014b,fmrt-txn-014,CARD,43600,43600,0
fmrt-pay-015,fmrt-txn-015,CASH,74000,80000,6000
fmrt-pay-016a,fmrt-txn-016,CASH,100000,100000,0
fmrt-pay-016b,fmrt-txn-016,CARD,50500,50500,0
fmrt-pay-017,fmrt-txn-017,E_WALLET,47000,47000,0
fmrt-pay-018,fmrt-txn-018,CASH,41500,50000,8500
fmrt-pay-019,fmrt-txn-019,CASH,83400,100000,16600
fmrt-pay-020,fmrt-txn-020,CASH,74500,80000,5500
fmrt-pay-021,fmrt-txn-021,CASH,77000,80000,3000
fmrt-pay-022,fmrt-txn-022,E_WALLET,53300,53300,0
fmrt-pay-023,fmrt-txn-023,CASH,74700,80000,5300
fmrt-pay-024,fmrt-txn-024,CARD,77000,77000,0
fmrt-pay-025,fmrt-txn-025,CASH,89000,100000,11000
fmrt-pay-026,fmrt-txn-026,E_WALLET,48800,48800,0
fmrt-pay-027,fmrt-txn-027,CASH,57500,60000,2500
fmrt-pay-028,fmrt-txn-028,E_WALLET,47000,47000,0
fmrt-pay-029,fmrt-txn-029,CASH,111000,120000,9000
fmrt-pay-030,fmrt-txn-030,CASH,41400,50000,8600
fmrt-pay-031a,fmrt-txn-031,CASH,100000,100000,0
fmrt-pay-031b,fmrt-txn-031,CARD,28500,28500,0
fmrt-pay-032,fmrt-txn-032,CASH,30000,30000,0
fmrt-pay-active-1,fmrt-txn-active-1,CASH,74000,80000,6000
