id,orderId,variantId,quantity,unitPrice,unitCost,unitAbbreviation
shub-oi-001a,shub-ord-001,shub-var-crop-tee-s-wht,2,79500,32000,pcs
shub-oi-001b,shub-ord-001,shub-var-midi-skirt-m-flrl,1,169500,65000,pcs
shub-oi-002a,shub-ord-002,shub-var-polo-m-wht,1,129500,50000,pcs
shub-oi-002b,shub-ord-002,shub-var-chino-32-khk,1,199500,76000,pcs
shub-oi-003a,shub-ord-003,shub-var-wrap-dress-m-navy,1,249500,95000,pcs
shub-oi-003b,shub-ord-003,shub-var-tote-nat,1,129500,48000,pcs
shub-oi-004a,shub-ord-004,shub-var-bomber-m-blk,1,349500,135000,pcs
shub-oi-004b,shub-ord-004,shub-var-gtee-m-blk,1,89500,34000,pcs
shub-oi-005a,shub-ord-005,shub-var-snkr-8-wht,1,249500,95000,pcs
shub-oi-005b,shub-ord-005,shub-var-jogger-m-gry,1,159500,60000,pcs
shub-oi-006a,shub-ord-006,shub-var-linen-blouse-m-ecru,1,149500,58000,pcs
shub-oi-006b,shub-ord-006,shub-var-wide-pants-m-blk,1,189500,72000,pcs
shub-oi-007a,shub-ord-007,shub-var-polo-l-nvy,2,129500,50000,pcs
shub-oi-007b,shub-ord-007,shub-var-belt-l-brn,1,149500,55000,pcs
shub-oi-008a,shub-ord-008,shub-var-sportsbra-m-blk,1,119500,45000,pcs
shub-oi-008b,shub-ord-008,shub-var-jogger-s-gry,1,159500,60000,pcs
shub-oi-008c,shub-ord-008,shub-var-tote-blk,1,129500,48000,pcs
shub-oi-009a,shub-ord-009,shub-var-wrap-dress-m-rust,1,249500,95000,pcs
shub-oi-009b,shub-ord-009,shub-var-snkr-7-wht,1,249500,95000,pcs
shub-oi-010a,shub-ord-010,shub-var-gtee-l-wht,2,89500,34000,pcs
shub-oi-010b,shub-ord-010,shub-var-chino-32-nvy,1,199500,76000,pcs
shub-oi-011a,shub-ord-011,shub-var-crop-tee-m-blk,3,79500,32000,pcs
shub-oi-011b,shub-ord-011,shub-var-linen-blouse-m-sage,1,149500,58000,pcs
shub-oi-012a,shub-ord-012,shub-var-bomber-l-olv,1,349500,135000,pcs
shub-oi-012b,shub-ord-012,shub-var-polo-m-nvy,1,129500,50000,pcs
shub-oi-013a,shub-ord-013,shub-var-midi-skirt-s-flrl,1,169500,65000,pcs
shub-oi-013b,shub-ord-013,shub-var-sportsbra-s-blk,1,119500,45000,pcs
shub-oi-013c,shub-ord-013,shub-var-belt-s-brn,1,149500,55000,pcs
shub-oi-014a,shub-ord-014,shub-var-wide-pants-s-blk,1,189500,72000,pcs
shub-oi-014b,shub-ord-014,shub-var-wrap-dress-s-navy,1,249500,95000,pcs
shub-oi-015a,shub-ord-015,shub-var-chino-30-khk,1,199500,76000,pcs
shub-oi-015b,shub-ord-015,shub-var-gtee-l-blk,2,89500,34000,pcs
shub-oi-016a,shub-ord-016,shub-var-bomber-m-olv,1,349500,135000,pcs
shub-oi-016b,shub-ord-016,shub-var-snkr-9-blk,1,249500,95000,pcs
shub-oi-017a,shub-ord-017,shub-var-crop-tee-xs-wht,2,79500,32000,pcs
shub-oi-017b,shub-ord-017,shub-var-tote-nat,1,129500,48000,pcs
shub-oi-018a,shub-ord-018,shub-var-polo-s-wht,1,129500,50000,pcs
shub-oi-018b,shub-ord-018,shub-var-chino-32-khk,1,199500,76000,pcs
shub-oi-018c,shub-ord-018,shub-var-tote-blk,1,129500,48000,pcs
shub-oi-019a,shub-ord-019,shub-var-sale-dress-m-ylw,2,89500,65000,pcs
shub-oi-019b,shub-ord-019,shub-var-sale-dress-s-ylw,1,89500,65000,pcs
shub-oi-020a,shub-ord-020,shub-var-linen-blouse-s-ecru,1,149500,58000,pcs
shub-oi-020b,shub-ord-020,shub-var-midi-skirt-m-flrl,1,169500,65000,pcs
shub-oi-021a,shub-ord-021,shub-var-jogger-m-gry,1,159500,60000,pcs
shub-oi-021b,shub-ord-021,shub-var-sportsbra-m-blk,1,119500,45000,pcs
shub-oi-022a,shub-ord-022,shub-var-gtee-l-blk,2,89500,34000,pcs
shub-oi-022b,shub-ord-022,shub-var-chino-32-nvy,1,199500,76000,pcs
shub-oi-023a,shub-ord-023,shub-var-wrap-dress-m-navy,1,249500,95000,pcs
shub-oi-023b,shub-ord-023,shub-var-belt-s-brn,1,149500,55000,pcs
shub-oi-024a,shub-ord-024,shub-var-crop-tee-m-wht,2,79500,32000,pcs
shub-oi-024b,shub-ord-024,shub-var-wide-pants-m-camel,1,189500,72000,pcs
shub-oi-025a,shub-ord-025,shub-var-bomber-m-blk,1,349500,135000,pcs
shub-oi-025b,shub-ord-025,shub-var-gtee-m-blk,2,89500,34000,pcs
shub-oi-026a,shub-ord-026,shub-var-snkr-8-wht,1,249500,95000,pcs
shub-oi-026b,shub-ord-026,shub-var-jogger-s-gry,1,159500,60000,pcs
shub-oi-027a,shub-ord-027,shub-var-polo-m-nvy,2,129500,50000,pcs
shub-oi-027b,shub-ord-027,shub-var-belt-l-brn,1,149500,55000,pcs
shub-oi-028a,shub-ord-028,shub-var-linen-blouse-m-ecru,1,149500,58000,pcs
shub-oi-028b,shub-ord-028,shub-var-midi-skirt-s-flrl,1,169500,65000,pcs
shub-oi-029a,shub-ord-029,shub-var-crop-tee-l-blk,3,79500,32000,pcs
shub-oi-029b,shub-ord-029,shub-var-tote-blk,1,129500,48000,pcs
shub-oi-030a,shub-ord-030,shub-var-wrap-dress-m-rust,1,249500,95000,pcs
shub-oi-030b,shub-ord-030,shub-var-sportsbra-s-blk,1,119500,45000,pcs
shub-oi-031a,shub-ord-031,shub-var-chino-30-khk,1,199500,76000,pcs
shub-oi-031b,shub-ord-031,shub-var-polo-m-wht,1,129500,50000,pcs
shub-oi-031c,shub-ord-031,shub-var-belt-s-brn,1,149500,55000,pcs
